modelTag,finalTag,valRound
Time,Time,0
onlineDrum,BIL.39.HGI_OnlineDrum.IDMS,2
NorthDrumStatus,BIL.39.HGI_D3908_Status.IDMS,2
SouthDrumStatus,BIL.39.HGI_D3909_Status.IDMS,2
Hgi_Pred_hour0,BIL.39.CokeDrum_HGI_Pred.IDMS,1
cycleTime_hrs,HGI_DrumRunTime.HOL,2
Prev_Hgi_Pred,BIL.39.CokeDrum_HGI_Previous.IDMS,1
HeavyWtPercent,BIL.39.CokeDrum_HeavyWtPercent.IDMS,2
MediumWtPercent,BIL.39.CokeDrum_MediumWtPercent.IDMS,2
LightWtPercent,BIL.39.CokeDrum_LightWtPercent.IDMS,2
targetHgiUpper,BIL.39.CokeDrum_TargetHGI_Upper.IDMS,0
targetHgiLower,BIL.39.CokeDrum_TargetHGI_Lower.IDMS,0
HgiPredUpper,BIL.39.CokeDrum_PredHGI_Upper.IDMS,0
HgiPredLower,BIL.39.CokeDrum_PredHGI_Lower.IDMS,0
recoFlagCOT,HGIflag1,0
recoFlagQuench,HGIflag2,0
recoFlagVaccumTower,HGIflag3,0
Prev_Hgi_Pred_South,BIL.39.CokeDrum_SouthHGI_Pred_Final.IDMS,1
Prev_Hgi_Pred_North,BIL.39.CokeDrum_NorthHGI_Pred_Final.IDMS,1
39XA151,39XA151,0
39XA152,39XA152,0
39OUTAGE,39OUTAGE,1
39LI112A,39LI112A,1
39LI112B,39LI112B,1
39LI112C,39LI112C,1
39LI109A,39LI109A,1
39LI109B,39LI109B,1
39LI109C,39LI109C,1
39FI347,39FI347,1
39FI123,39FI123,1
39PI101,39PI101,1
39PI994A,39PI994A,1
39PI995A,39PI995A,1
39PI180,39PI180,1
39PI181,39PI181,1
39PI111,39PI111,1
39TI199,39TI199,1
39TI203,39TI203,1
39FC126,39FC126,1
39FC127,39FC127,1
39FC128,39FC128,1
39FC129,39FC129,1
39DI348,39DI348,1
