Time,39XA151,39XA152,39OUTAGE,39LI112A,39LI112B,39LI112C,39LI109A,39LI109B,39LI109C,39FI347,39FI123,39PI101,39PI994A,39PI995A,39PI180,39PI181,39PI111,39TI199,39TI203,39FC126,39FC127,39FC128,39FC129,39DI348,39FI115,39DI108,39DI111,39TC198,39TI198,39TI201,39FC145,84FC101,84FC105,84GOHAPI.B,39FI162,39CWGMW.B,39FC168,39SCNAPI.B,39FC116,39CDAPI.B,39FI125,39FC176,39HGOAPI.B,39FC170,13PI335,13TI139A,13TI139B,13TC172,13TI342,13VGO_CCR.B,AWBTOLCU.RD,BRNTOLCU.RD,BRSTOLCU.RD,CDBTOLCU.RD,CMMTOLCU.RD,FRATOLCU.RD,MHOTOLCU.RD,MSBTOLCU.RD,PSYTOLCU.RD,RLSTOLCU.RD,SHVTOLCU.RD,SYBTOLCU.RD,MSOTOLCU.RD,BHBTOLCU.RD,CBSTOLCU.RD,CDLTOLCU.RD,CHVTOLCU.RD,FRBTOLCU.RD,KDBTOLCU.RD,LLBTOLCU.RD,MSWTOLCU.RD,PDHTOLCU.RD,PXBTOLCU.RD,SLOPTOLCU.RD,SMATOLCU.RD,WCBTOLCU.RD,WCSTOLCU.RD,WDBTOLCU.RD,AWBTOSCU.RD,BRNTOSCU.RD,BRSTOSCU.RD,CDBTOSCU.RD,CMMTOSCU.RD,FRATOSCU.RD,MHOTOSCU.RD,MSBTOSCU.RD,PSYTOSCU.RD,RLSTOSCU.RD,SHVTOSCU.RD,SYBTOSCU.RD,MSOTOSCU.RD,BHBTOSCU.RD,CBSTOSCU.RD,CDLTOSCU.RD,CHVTOSCU.RD,FRBTOSCU.RD,KDBTOSCU.RD,LLBTOSCU.RD,MSWTOSCU.RD,PDHTOSCU.RD,PXBTOSCU.RD,SLOPTOSCU.RD,SMATOSCU.RD,WCBTOSCU.RD,WCSTOSCU.RD,WDBTOSCU.RD,39FC225,39FC226,39FC157A.O,39FC157A,39HC131.S,39FI156,39FC157B.O,39HC173O,39HC174O,39PI175,39TI127,39TI128,39TI169,39TI170,13DI189,13CSAPIG.B,14CSAPIG.B,39PI513,39PI522,39FC113,39TI104,39TI119,39PC501,39TI120,39TI991A,39TI993A,39CKHGINORTH.B,39CKHGISOUTH.B,39TX190
30-07-2020 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-07-2020 00:05,0,0,0,2.104075833,0,3.352580485,0,0.002156609,0,15.67185195,92.35298812,0.032330672,0,0,0.310170918,0,0.685711934,1.448999039,0,0,0,0,8.179858119,0.002518359,5.593385248,0,2.004855331,0.810615573,0.653090244,10.27221793,0,0,56.32647446,0,38.77858076,0,59.14561126,0,0,0,104.3003796,0,0,3.14584688,0.281657059,0.337893664,0.236573064,0.155780978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.168774758,0,16.61856199,0,0,0,0,0,0.680382621,0,0,0.784560685,0,0,0,0,0.077221128,0,0,0,0,0.012956475,0,0.700906046,2.30346367,0,0,0.460029015
30-07-2020 00:10,0,0,0,1.775879432,0,2.636601801,0.090361705,0.003660491,0.421154114,14.48814283,163.0255668,0.037793652,0.292839915,0,0.263269011,0.034337561,0.566955614,2.459439463,2.082429637,0,0,2.093650858,5.795191049,0.003532098,5.321210079,0,2.290857733,1.477820922,1.582377181,9.105348009,0,44.68740566,48.95704324,0,62.24951905,0,48.41965989,0,0,0,108.1946142,0,0,6.873362093,0.269666103,0.24454948,0.197706687,0.164244695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.897209327,0,12.90285834,0,0,0.216638532,0,0,0.604262475,0,0,1.444652876,0,0,0,0,0.068449214,0.28213349,0,0,0,0.01240488,0,1.576078033,2.005401636,0,0,0.353141031
30-07-2020 00:15,0,0,0,2.539811474,0.003425751,3.271325576,0.148745287,0.453112886,0.529490583,19.58565728,294.0258885,0.034344405,0.278309763,0,0.2581935,0.039968076,0.539307025,2.440461265,3.60803131,0.700432176,0.556835407,2.632215563,4.734982182,0.004125948,6.566889452,0.12118591,5.101544169,1.554742347,1.476714958,8.213073841,2.256055511,46.79977379,51.35973688,0,87.11860254,0,49.28534696,0,2.978590293,0,149.0752435,0,0,20.01543705,0.237274536,0.201277646,0.169367943,0.174260963,0.270179567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186362477,0.752003244,0,11.52280118,0,0,0.249355512,0,0,0.592545211,0.627947204,0,1.468085694,2.292773195,0.007962264,0,0,0.059384898,0.309615132,0,0.289523659,0.938310041,0.01225339,0,1.750304454,2.824868815,0,0,0.295988007
30-07-2020 00:20,0,0,0,2.333603854,0.008556019,2.961419966,0.151664341,0.557192003,0.522058767,30.17599736,325.7269155,0.050763392,0.25668094,0,0.280562416,0.038855918,0.578673559,2.487129317,3.225913729,1.749371235,0.593009145,2.595270355,6.203451315,0.00569812,7.903982987,0.302669056,4.939624571,1.768741869,1.535051352,7.751157597,2.468453084,44.41408563,51.35178592,0,95.86931088,0,53.66125193,0,3.495471462,0,152.6337658,0,0,38.99434914,0.217537064,0.660771893,0.910416989,0.179526148,0.317064408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262550014,0.653556977,0,10.26659326,0,0,0.255675588,0,0,0.540556807,0.709306501,0.011313633,1.58094614,2.595548255,0.026291452,0,0,0.052939684,0.297213417,0,0.723102648,1.14184191,0.01493291,0,1.835255418,2.844980638,0,0,1.733488333
30-07-2020 00:25,0,0,0,2.234651814,0.009480623,2.685830166,0.151988726,0.569615938,0.494139881,30.31617638,315.6402854,0.080818865,0.229586256,0.002627118,0.360918499,0.055478395,0.620855209,2.405102626,3.02360444,1.938416597,0.582450274,2.815294217,6.69362966,0.005941114,8.819063603,0.335376911,5.521144008,1.92601281,1.784869279,7.126001932,2.445675932,50.44007245,49.50926086,0,94.45755689,0,49.81131135,0,3.532767171,0,163.3945568,0,0,48.55054946,0.20580865,0.739484489,1.183808111,0.209670361,0.320447397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275680142,0.584698011,0,9.703735998,0,0,0.239114629,0,0,0.592346292,0.709461017,0.013609594,1.558480303,2.597744402,0.02851067,0,0,0.048172673,0.274434991,0,0.801244554,1.197214916,0.044350021,0.113845777,1.929588466,3.643005336,0,0,2.074992353
30-07-2020 00:30,0,0,0,3.566336526,0.009539835,4.28572699,0.16251577,0.569963291,0.589707053,31.11745153,299.3846513,0.103186799,0.204043861,0.003305443,0.364094261,0.069901993,0.624610659,2.18577141,3.291090954,1.977890378,0.540097325,3.116070931,6.746566299,0.005908691,8.248471051,0.346046228,5.35551883,2.054465889,1.791417753,7.596441497,3.383826434,53.4585397,50.10115845,0,83.61701676,0,47.97967877,0,5.354185444,0,174.4626692,0,0,47.28251678,0.183572456,0.757406355,1.264977373,0.309478689,0.368598446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537450408,0.446346205,0,8.8670445,0,0,0.247688751,0,0,0.61130246,0.960037358,0.014186472,1.419797331,2.451445661,0.031411472,0,0,0.042328089,0.248341558,0,0.81234988,1.182436035,0.069171925,0.148856812,2.180010058,5.020240819,0,0,2.142744971
30-07-2020 00:35,0,0,0,3.975831573,0.008469882,4.727304756,0.170718646,0.571294425,0.518124051,30.42217747,216.3370973,0.105398085,0.075737558,0.00359851,0.359525283,0.080809254,0.616335523,0.882620649,3.174287164,1.928522384,0.421721499,5.770767854,7.881727993,0.005272983,7.069823534,0.397174644,5.585997599,2.456282819,2.224519475,4.922476404,4.060099387,130.5571281,47.89600736,0,57.03628925,0,50.05611952,0,6.1552995,0,187.2784908,0,0,48.33960879,0.062813936,0.854945824,1.249849914,0.4029217,0.36401724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.798787421,0.579782437,0,6.645386122,0,0,0.333741545,0,0,0.555475607,2.185804348,0.013703249,0.787163792,2.026728846,0.032617829,0,0,0.060309208,0.149988862,0,0.938258931,1.910175692,0.099842494,0.164342117,2.538212555,5.341755622,0,0,1.94210825
30-07-2020 00:40,0,0,0,4.07743397,0.006666362,4.737298713,0.176639539,0.57368658,0.447070979,30.47919008,82.60061393,0.087229219,0.070354867,0.003475937,0.314420733,0.082436462,0.654196199,0.921681664,3.203990791,1.532959229,0.086816599,7.788031161,8.152158604,0.005878357,5.947508417,0.438258436,6.265077347,3.217306929,2.812826973,6.070919156,4.538884791,130.0211825,49.0783262,0,43.84225174,0,50.71671485,0,5.54623618,0,199.4956455,0,0,49.88372165,0.086621297,0.76953351,1.060334035,0.378852359,0.263672491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852100913,0.764135247,0,6.646941676,0,0,0.336470055,0,0,0.515141068,2.515534124,0.011374483,0.752589392,1.240029537,0.029896063,0,0,0.086546348,0.061961675,0,1.038421444,2.547158402,0.112720862,0.160610822,3.378762053,6.719002891,0,0,1.601567792
30-07-2020 00:45,0,0,0,4.085351305,0.003732329,4.512934341,0.176240274,0.561865346,0.439014389,25.36718765,56.84682121,0.05660074,0.055185647,0.002885227,0.290775063,0.0711754,0.656134765,0.933436307,2.186887794,0.334571225,0.387252736,8.637830642,7.718702551,0.005144814,7.949669631,0.465118178,4.688303445,4.736055096,4.638339085,10.31216442,4.74608913,130.5467162,50.16884613,0,42.18764344,0,48.70553925,0,11.18548784,0,225.3822316,0,0,48.25515781,0.088469013,0.396752783,0.629797392,0.34731909,0.206733146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.871597073,0.807804377,0,6.35013261,0,0,0.425268342,0,0,0.48757135,2.353286294,0.005104455,0.741489237,1.254664462,0.027675011,0,0,0.091998803,0.064127022,0,0.774872969,2.860936736,0.116749642,0.136091384,4.825278727,11.60055815,0,0,0.978763922
